Fold,MAE (kcal/mol),parameters
1,0.9978315,"[1, 261, 2, 90, 0.857, 0.914, 0.20006]"
1,1.201808,"[1, 204, 1, 204, 0.952, 0.8190000000000001, 0.5]"
1,0.96516615,"[1, 90, 2, 204, 0.971, 0.8190000000000001, 0.10008]"
1,1.1048896,"[1, 90, 2, 204, 0.895, 0.8190000000000001, 0.5]"
1,1.274888,"[2, 118, 2, 204, 0.952, 0.914, 0.5]"
1,0.98953575,"[2, 261, 1, 261, 0.857, 0.857, 0.20006]"
1,1.936047,"[2, 5, 2, 5, 0.952, 0.971, 0.5]"
1,1.1551378,"[1, 261, 1, 118, 0.857, 0.971, 0.20006]"
1,1.2171879,"[1, 5, 2, 204, 0.971, 0.971, 0.5]"
1,1.0304254,"[2, 261, 1, 204, 0.857, 0.8380000000000001, 0.20006]"
1,1.154188,"[2, 90, 2, 204, 0.971, 0.971, 0.5]"
1,1.1621221,"[1, 147, 2, 204, 0.933, 0.8190000000000001, 0.5]"
1,1.0050834,"[1, 147, 2, 204, 0.876, 0.914, 0.5]"
1,1.0234557,"[2, 118, 2, 33, 0.914, 0.8190000000000001, 0.15006999999999998]"
1,1.1359867,"[2, 118, 1, 175, 0.895, 0.914, 0.25005]"
1,1.1675301,"[2, 33, 2, 204, 0.971, 0.99, 0.40002]"
1,1.0085082,"[2, 118, 2, 33, 0.914, 0.8190000000000001, 0.40002]"
1,0.9894022,"[2, 261, 1, 204, 0.857, 0.933, 0.05009]"
1,1.0867126,"[2, 5, 2, 90, 0.857, 0.8380000000000001, 0.05009]"
1,1.2071216,"[2, 33, 1, 232, 0.857, 0.857, 0.5]"
1,0.9629809,"[1, 118, 2, 175, 0.895, 0.971, 0.20006]"
1,0.9514671,"[2, 175, 1, 261, 0.933, 0.8190000000000001, 0.25005]"
1,1.110608,"[1, 61, 1, 61, 0.933, 0.99, 0.25005]"
1,0.8302117,"[2, 261, 2, 33, 0.895, 0.99, 0.30004]"
1,1.1664195,"[1, 261, 1, 5, 0.895, 0.99, 0.25005]"
1,1.1401168,"[1, 261, 1, 33, 0.8, 0.99, 0.30004]"
1,0.846929,"[1, 61, 2, 118, 0.933, 0.876, 0.20006]"
1,1.0187129,"[1, 61, 2, 90, 0.933, 0.876, 0.45000999999999997]"
1,1.1737969,"[1, 261, 1, 90, 0.895, 0.99, 0.30004]"
1,1.3377275,"[1, 261, 1, 33, 0.895, 0.876, 0.05009]"
1,0.8594892,"[2, 175, 2, 175, 0.933, 0.8190000000000001, 0.25005]"
1,0.90717554,"[2, 118, 1, 204, 0.895, 0.971, 0.25005]"
1,1.0295318,"[2, 175, 2, 33, 0.895, 0.99, 0.30004]"
1,0.89412683,"[1, 261, 2, 90, 0.933, 0.952, 0.35003]"
1,0.9586949,"[1, 90, 2, 175, 0.933, 0.914, 0.15006999999999998]"
1,1.225617,"[1, 33, 2, 175, 0.952, 0.914, 0.5]"
1,1.084386,"[2, 261, 2, 118, 0.933, 0.895, 0.25005]"
1,1.1369214,"[2, 33, 2, 118, 0.933, 0.952, 0.20006]"
1,1.0475984,"[1, 175, 2, 118, 0.933, 0.952, 0.25005]"
1,1.3127186,"[1, 5, 2, 232, 0.933, 0.8190000000000001, 0.20006]"
1,1.066243,"[1, 61, 1, 118, 0.933, 0.8190000000000001, 0.5]"
1,1.1359938,"[2, 90, 2, 175, 0.933, 0.8190000000000001, 0.20006]"
1,0.9771784,"[1, 232, 2, 175, 0.933, 0.952, 0.20006]"
1,1.1309758,"[1, 5, 1, 33, 0.895, 0.99, 0.10008]"
1,1.1604853,"[1, 175, 2, 175, 0.933, 0.8190000000000001, 0.25005]"
1,1.0859524,"[2, 261, 2, 175, 0.895, 0.876, 0.05009]"
1,0.99381477,"[2, 61, 1, 61, 0.895, 0.933, 0.30004]"
1,1.101967,"[2, 232, 2, 175, 0.895, 0.971, 0.10008]"
1,1.065081,"[1, 5, 2, 118, 0.933, 0.857, 0.20006]"
1,1.0469773,"[2, 5, 1, 61, 0.895, 0.99, 0.45000999999999997]"
1,1.1695722,"[1, 61, 2, 204, 0.8380000000000001, 0.895, 0.10008]"
1,1.3068404,"[2, 147, 1, 33, 0.895, 0.8190000000000001, 0.20006]"
1,1.255239,"[1, 61, 1, 33, 0.933, 0.876, 0.35003]"
1,0.98755777,"[2, 175, 1, 118, 0.933, 0.876, 0.20006]"
1,1.0110093,"[2, 175, 1, 204, 0.857, 0.952, 0.45000999999999997]"
1,1.1580291,"[2, 175, 2, 61, 0.952, 0.8190000000000001, 0.45000999999999997]"
1,1.14319,"[2, 118, 2, 147, 0.895, 0.971, 0.45000999999999997]"
1,1.1120855,"[2, 33, 1, 204, 0.857, 0.895, 0.25005]"
1,0.9665722,"[1, 175, 2, 118, 0.933, 0.857, 0.05009]"
1,1.0987421,"[2, 175, 2, 147, 0.933, 0.8190000000000001, 0.25005]"
1,1.1597452,"[1, 261, 2, 118, 0.933, 0.876, 0.20006]"
1,1.1304969,"[2, 232, 2, 118, 0.933, 0.914, 0.25005]"
1,0.8989164,"[1, 261, 2, 90, 0.933, 0.8190000000000001, 0.45000999999999997]"
1,0.93702257,"[2, 261, 2, 33, 0.895, 0.857, 0.30004]"
1,1.0646981,"[2, 261, 1, 33, 0.895, 0.933, 0.30004]"
1,0.9369606,"[1, 204, 2, 118, 0.933, 0.914, 0.05009]"
1,1.1360139,"[2, 175, 2, 232, 0.933, 0.8380000000000001, 0.25005]"
1,1.0292317,"[1, 261, 1, 90, 0.933, 0.857, 0.25005]"
1,1.0988317,"[2, 118, 2, 204, 0.895, 0.876, 0.05009]"
1,1.1161546,"[1, 61, 2, 232, 0.933, 0.8190000000000001, 0.35003]"
1,1.0069067,"[2, 175, 2, 204, 0.952, 0.99, 0.15006999999999998]"
1,1.1969995,"[2, 118, 2, 204, 0.895, 0.971, 0.45000999999999997]"
2,0.9783254,"[2, 261, 1, 61, 0.857, 0.933, 0.20006]"
2,0.82785743,"[2, 33, 2, 261, 0.8190000000000001, 0.952, 0.20006]"
2,0.8122951,"[2, 175, 2, 118, 0.876, 0.971, 0.15006999999999998]"
2,0.8236364,"[1, 90, 2, 118, 0.895, 0.933, 0.35003]"
2,0.9633745,"[2, 90, 1, 5, 0.914, 0.971, 0.30004]"
2,0.875631,"[2, 261, 2, 5, 0.914, 0.857, 0.15006999999999998]"
2,0.84234595,"[1, 261, 2, 204, 0.876, 0.857, 0.20006]"
2,0.84149456,"[2, 61, 1, 90, 0.933, 0.8, 0.10008]"
2,0.920054,"[2, 204, 1, 261, 0.971, 0.933, 0.45000999999999997]"
2,0.75251555,"[2, 147, 1, 175, 0.99, 0.8190000000000001, 0.0001]"
2,0.81211126,"[1, 118, 2, 118, 0.8, 0.8380000000000001, 0.10008]"
2,0.79160535,"[2, 204, 2, 118, 0.971, 0.895, 0.05009]"
2,0.6994144,"[2, 147, 1, 175, 0.99, 0.8190000000000001, 0.0001]"
2,1.0691756,"[2, 5, 1, 118, 0.8380000000000001, 0.895, 0.05009]"
2,0.92627555,"[1, 204, 2, 33, 0.971, 0.876, 0.5]"
2,0.7467983,"[2, 204, 2, 147, 0.952, 0.895, 0.40002]"
2,0.76074725,"[2, 204, 2, 147, 0.8380000000000001, 0.895, 0.40002]"
2,1.0827206,"[1, 5, 2, 147, 0.952, 0.895, 0.40002]"
2,0.8131644,"[2, 147, 2, 118, 0.8190000000000001, 0.8190000000000001, 0.0001]"
2,0.9285329,"[2, 175, 2, 118, 0.99, 0.8380000000000001, 0.25005]"
2,0.7677217,"[2, 204, 2, 147, 0.952, 0.895, 0.45000999999999997]"
2,0.89746225,"[2, 204, 1, 232, 0.952, 0.895, 0.20006]"
2,0.8315104,"[1, 147, 2, 147, 0.99, 0.971, 0.5]"
2,0.8894089,"[2, 204, 2, 204, 0.952, 0.895, 0.30004]"
2,0.93081003,"[2, 118, 2, 118, 0.8, 0.914, 0.45000999999999997]"
2,0.8907586,"[2, 147, 2, 175, 0.8380000000000001, 0.99, 0.0001]"
2,0.6970493,"[2, 204, 1, 175, 0.8190000000000001, 0.895, 0.30004]"
2,0.967211,"[2, 232, 1, 147, 0.8190000000000001, 0.895, 0.30004]"
2,0.7425555,"[2, 204, 1, 175, 0.8, 0.857, 0.25005]"
2,0.8807281,"[1, 204, 1, 175, 0.8, 0.8380000000000001, 0.15006999999999998]"
2,0.7943221,"[1, 204, 2, 175, 0.952, 0.952, 0.30004]"
2,0.9001151,"[2, 204, 2, 175, 0.971, 0.914, 0.40002]"
2,0.7618581,"[2, 204, 2, 175, 0.8190000000000001, 0.8, 0.0001]"
2,0.85606784,"[1, 147, 1, 175, 0.971, 0.8190000000000001, 0.45000999999999997]"
2,0.86749893,"[2, 204, 1, 5, 0.8190000000000001, 0.99, 0.30004]"
2,1.0801651,"[2, 204, 1, 5, 0.99, 0.857, 0.30004]"
2,0.90835154,"[2, 204, 1, 175, 0.933, 0.895, 0.30004]"
2,0.8445879,"[2, 204, 2, 147, 0.952, 0.971, 0.15006999999999998]"
2,0.7907085,"[1, 204, 1, 175, 0.8380000000000001, 0.895, 0.15006999999999998]"
2,0.88658875,"[2, 204, 1, 175, 0.8190000000000001, 0.971, 0.40002]"
2,0.92685086,"[1, 204, 1, 90, 0.8, 0.952, 0.40002]"
2,1.016305,"[2, 204, 2, 147, 0.8, 0.914, 0.40002]"
2,0.76844186,"[1, 204, 1, 175, 0.8, 0.857, 0.25005]"
2,0.8536908,"[1, 204, 1, 175, 0.8190000000000001, 0.895, 0.30004]"
2,0.8355119,"[2, 61, 2, 175, 0.99, 0.8190000000000001, 0.0001]"
2,0.8427173,"[2, 204, 1, 175, 0.8, 0.857, 0.15006999999999998]"
2,0.82889336,"[2, 204, 2, 175, 0.99, 0.876, 0.25005]"
2,0.9839665,"[2, 204, 2, 175, 0.914, 0.857, 0.25005]"
2,0.75267196,"[2, 175, 1, 175, 0.99, 0.8190000000000001, 0.25005]"
2,0.92965394,"[2, 204, 1, 175, 0.99, 0.895, 0.40002]"
2,0.76649433,"[2, 147, 2, 175, 0.99, 0.8190000000000001, 0.25005]"
2,0.94132435,"[2, 204, 2, 175, 0.8, 0.99, 0.5]"
2,0.73100775,"[1, 33, 1, 175, 0.99, 0.8190000000000001, 0.0001]"
2,0.87778956,"[2, 90, 1, 33, 0.99, 0.8190000000000001, 0.45000999999999997]"
2,0.73614305,"[1, 261, 2, 175, 0.99, 0.8190000000000001, 0.0001]"
2,0.7839311,"[2, 204, 2, 175, 0.8, 0.857, 0.30004]"
2,0.7828129,"[1, 204, 2, 33, 0.952, 0.8, 0.25005]"
2,0.85292524,"[2, 204, 2, 118, 0.857, 0.952, 0.40002]"
2,0.87569606,"[2, 204, 2, 175, 0.8190000000000001, 0.914, 0.05009]"
2,0.83625054,"[2, 204, 1, 175, 0.857, 0.952, 0.40002]"
2,1.0142444,"[2, 147, 2, 175, 0.99, 0.8190000000000001, 0.0001]"
2,0.8820976,"[2, 232, 1, 175, 0.8190000000000001, 0.895, 0.45000999999999997]"
2,0.7318834,"[1, 261, 1, 175, 0.99, 0.8190000000000001, 0.0001]"
2,0.7259179,"[2, 204, 1, 175, 0.8190000000000001, 0.8380000000000001, 0.30004]"
2,0.80040807,"[1, 90, 1, 175, 0.952, 0.99, 0.0001]"
2,0.85705006,"[1, 147, 1, 175, 0.8, 0.952, 0.0001]"
2,0.87067235,"[1, 175, 1, 175, 0.857, 0.933, 0.0001]"
2,0.77819556,"[1, 90, 1, 175, 0.99, 0.8190000000000001, 0.0001]"
2,0.8137643,"[1, 33, 2, 175, 0.99, 0.8190000000000001, 0.0001]"
2,0.79074574,"[2, 232, 1, 175, 0.857, 0.857, 0.30004]"
2,0.9425902,"[2, 33, 1, 175, 0.99, 0.857, 0.30004]"
2,0.7822234,"[2, 118, 1, 175, 0.857, 0.895, 0.25005]"
2,0.79041076,"[2, 261, 1, 175, 0.8, 0.99, 0.25005]"
2,1.1577066,"[2, 5, 1, 175, 0.914, 0.8380000000000001, 0.25005]"
2,0.84984696,"[2, 204, 2, 147, 0.8380000000000001, 0.895, 0.25005]"
2,0.8216021,"[1, 118, 1, 175, 0.876, 0.8, 0.25005]"
2,0.9428247,"[1, 175, 1, 175, 0.971, 0.8190000000000001, 0.25005]"
2,0.8992354,"[2, 61, 1, 175, 0.8190000000000001, 0.895, 0.25005]"
2,0.64629996,"[1, 261, 1, 5, 0.99, 0.8190000000000001, 0.0001]"
2,0.99855137,"[1, 61, 1, 5, 0.99, 0.8190000000000001, 0.0001]"
2,0.7743156,"[1, 261, 1, 5, 0.99, 0.8190000000000001, 0.0001]"
2,3.0429494,"[1, 261, 2, 5, 0.99, 0.8190000000000001, 0.25005]"
2,1.5097111,"[2, 5, 2, 5, 0.971, 0.971, 0.0001]"
2,2.577662,"[2, 5, 2, 5, 0.8380000000000001, 0.914, 0.45000999999999997]"
2,0.9660021,"[2, 204, 1, 5, 0.914, 0.933, 0.45000999999999997]"
2,0.7600695,"[2, 261, 1, 232, 0.914, 0.99, 0.0001]"
2,0.85552365,"[1, 204, 1, 261, 0.914, 0.99, 0.0001]"
2,1.024564,"[1, 118, 2, 5, 0.914, 0.99, 0.0001]"
2,0.75352913,"[2, 204, 2, 90, 0.914, 0.857, 0.0001]"
2,1.0594832,"[1, 5, 1, 118, 0.895, 0.8190000000000001, 0.0001]"
2,0.96368015,"[2, 261, 1, 5, 0.99, 0.914, 0.0001]"
2,0.8533771,"[2, 118, 1, 5, 0.914, 0.971, 0.0001]"
2,0.76096433,"[1, 261, 2, 118, 0.8190000000000001, 0.8190000000000001, 0.0001]"
2,1.1432408,"[1, 5, 2, 204, 0.8190000000000001, 0.914, 0.0001]"
2,1.1227107,"[1, 5, 2, 90, 0.914, 0.914, 0.0001]"
2,0.83305764,"[2, 147, 1, 175, 0.8190000000000001, 0.99, 0.0001]"
2,0.7472782,"[1, 204, 2, 5, 0.8190000000000001, 0.914, 0.0001]"
2,1.0014104,"[2, 5, 1, 5, 0.971, 0.914, 0.25005]"
2,0.88598603,"[2, 118, 1, 33, 0.8, 0.8, 0.25005]"
2,0.9319325,"[2, 33, 1, 61, 0.8190000000000001, 0.8, 0.0001]"
3,0.6943573,"[2, 261, 1, 61, 0.857, 0.933, 0.20006]"
3,0.73637015,"[1, 175, 2, 33, 0.933, 0.952, 0.0001]"
3,0.82960576,"[2, 261, 1, 147, 0.952, 0.914, 0.35003]"
3,0.9470557,"[2, 5, 2, 5, 0.933, 0.99, 0.5]"
3,0.937742,"[1, 147, 2, 5, 0.8380000000000001, 0.8, 0.10008]"
3,0.8869097,"[2, 33, 2, 61, 0.895, 0.8, 0.45000999999999997]"
3,0.80569154,"[1, 232, 1, 33, 0.857, 0.857, 0.45000999999999997]"
3,0.8779888,"[2, 33, 2, 175, 0.876, 0.8, 0.45000999999999997]"
3,0.73931366,"[2, 147, 2, 232, 0.914, 0.876, 0.25005]"
3,0.8755285,"[1, 175, 2, 118, 0.933, 0.914, 0.35003]"
3,0.85378623,"[2, 204, 1, 33, 0.8380000000000001, 0.971, 0.5]"
3,0.8345395,"[1, 261, 1, 175, 0.857, 0.952, 0.10008]"
3,0.7927493,"[2, 261, 2, 61, 0.857, 0.971, 0.20006]"
3,0.7271109,"[1, 90, 1, 33, 0.895, 0.952, 0.0001]"
3,0.77852315,"[2, 90, 1, 33, 0.895, 0.952, 0.0001]"
3,0.7816381,"[1, 118, 1, 33, 0.8190000000000001, 0.952, 0.0001]"
3,0.71430993,"[2, 261, 1, 175, 0.857, 0.933, 0.45000999999999997]"
3,0.79676086,"[1, 261, 2, 61, 0.857, 0.933, 0.20006]"
3,0.77506053,"[2, 261, 1, 204, 0.857, 0.8, 0.20006]"
3,0.950036,"[1, 261, 1, 61, 0.857, 0.933, 0.20006]"
3,0.85595834,"[2, 261, 1, 61, 0.857, 0.914, 0.20006]"
3,0.6805983,"[2, 261, 1, 61, 0.952, 0.933, 0.20006]"
3,0.7999565,"[2, 261, 1, 61, 0.952, 0.933, 0.20006]"
3,0.7812599,"[2, 261, 1, 61, 0.8, 0.933, 0.40002]"
3,0.86424667,"[2, 261, 1, 147, 0.8380000000000001, 0.933, 0.15006999999999998]"
3,0.7909708,"[2, 261, 1, 204, 0.99, 0.933, 0.05009]"
3,0.84769213,"[2, 261, 1, 118, 0.857, 0.933, 0.35003]"
3,0.7679931,"[2, 261, 1, 261, 0.857, 0.933, 0.20006]"
3,0.737551,"[1, 204, 2, 33, 0.895, 0.8, 0.0001]"
3,0.8157244,"[1, 61, 2, 33, 0.952, 0.8380000000000001, 0.0001]"
3,0.73924077,"[1, 204, 2, 33, 0.971, 0.8190000000000001, 0.0001]"
3,0.86348873,"[2, 147, 2, 261, 0.952, 0.857, 0.30004]"
3,0.8465984,"[1, 118, 2, 33, 0.8, 0.895, 0.0001]"
3,0.8207361,"[2, 261, 1, 147, 0.895, 0.933, 0.45000999999999997]"
3,0.8200446,"[2, 261, 1, 90, 0.857, 0.857, 0.10008]"
3,0.763582,"[2, 175, 2, 33, 0.8, 0.99, 0.0001]"
3,0.9724149,"[2, 175, 2, 232, 0.914, 0.933, 0.25005]"
3,0.78744143,"[2, 147, 2, 175, 0.876, 0.876, 0.10008]"
3,0.7883507,"[1, 232, 1, 33, 0.895, 0.99, 0.0001]"
3,0.7957526,"[1, 147, 2, 204, 0.8, 0.876, 0.15006999999999998]"
3,0.73793197,"[1, 90, 1, 33, 0.857, 0.895, 0.0001]"
3,0.956857,"[2, 61, 2, 118, 0.876, 0.876, 0.30004]"
3,0.75845414,"[2, 147, 1, 147, 0.8380000000000001, 0.876, 0.35003]"
3,0.89114106,"[2, 147, 2, 147, 0.8, 0.876, 0.15006999999999998]"
3,0.7751007,"[2, 147, 2, 147, 0.8, 0.933, 0.25005]"
3,0.78457516,"[2, 33, 2, 33, 0.8380000000000001, 0.8380000000000001, 0.0001]"
3,0.8685303,"[2, 147, 1, 90, 0.933, 0.857, 0.40002]"
3,0.79479,"[2, 147, 2, 61, 0.914, 0.8380000000000001, 0.25005]"
3,0.78826255,"[2, 147, 1, 232, 0.99, 0.8380000000000001, 0.35003]"
3,0.87368244,"[1, 90, 1, 33, 0.8, 0.914, 0.0001]"
3,0.7904053,"[2, 261, 1, 175, 0.99, 0.8380000000000001, 0.10008]"
3,0.7632851,"[2, 261, 2, 204, 0.857, 0.971, 0.15006999999999998]"
3,0.7868437,"[2, 261, 2, 147, 0.99, 0.933, 0.20006]"
3,0.79599154,"[1, 90, 1, 175, 0.914, 0.952, 0.0001]"
3,0.75331676,"[1, 33, 2, 33, 0.933, 0.933, 0.0001]"
3,1.160869,"[2, 5, 1, 5, 0.952, 0.914, 0.20006]"
3,0.7308859,"[2, 118, 2, 5, 0.895, 0.914, 0.0001]"
3,0.8845879,"[2, 61, 2, 118, 0.876, 0.914, 0.0001]"
3,0.76698834,"[1, 118, 2, 5, 0.914, 0.8, 0.0001]"
3,0.786793,"[2, 147, 2, 118, 0.8380000000000001, 0.876, 0.0001]"
3,0.76863,"[2, 118, 1, 147, 0.857, 0.895, 0.0001]"
3,1.0498682,"[1, 5, 1, 147, 0.895, 0.914, 0.0001]"
3,1.230035,"[2, 118, 2, 5, 0.8, 0.914, 0.5]"
3,0.75705427,"[1, 261, 2, 232, 0.8, 0.914, 0.20006]"
3,0.84968734,"[2, 261, 1, 5, 0.933, 0.895, 0.0001]"
3,0.9077226,"[1, 261, 2, 33, 0.99, 0.914, 0.15006999999999998]"
3,0.6645992,"[1, 261, 2, 33, 0.857, 0.914, 0.40002]"
3,0.7268945,"[1, 261, 1, 33, 0.895, 0.914, 0.35003]"
3,0.7142184,"[1, 261, 2, 33, 0.857, 0.895, 0.40002]"
3,0.7628277,"[1, 261, 2, 33, 0.857, 0.971, 0.20006]"
3,0.7218835,"[1, 261, 2, 33, 0.857, 0.857, 0.30004]"
3,0.91893524,"[1, 261, 2, 33, 0.857, 0.914, 0.20006]"
3,0.7884748,"[1, 261, 1, 33, 0.971, 0.8380000000000001, 0.35003]"
3,0.7193849,"[2, 147, 1, 232, 0.8380000000000001, 0.914, 0.25005]"
3,0.6884106,"[2, 118, 2, 5, 0.971, 0.857, 0.0001]"
3,0.76329386,"[1, 261, 1, 5, 0.857, 0.857, 0.40002]"
3,0.60227424,"[1, 261, 2, 33, 0.8380000000000001, 0.8190000000000001, 0.40002]"
3,0.7947881,"[1, 261, 2, 33, 0.8380000000000001, 0.914, 0.40002]"
3,0.89649326,"[1, 261, 2, 33, 0.8, 0.8190000000000001, 0.40002]"
3,0.7081282,"[1, 261, 2, 118, 0.8380000000000001, 0.8190000000000001, 0.40002]"
3,0.7894184,"[1, 261, 2, 33, 0.8380000000000001, 0.857, 0.40002]"
3,0.7922775,"[1, 261, 2, 33, 0.857, 0.8190000000000001, 0.40002]"
3,0.7793429,"[1, 261, 2, 204, 0.8380000000000001, 0.8190000000000001, 0.40002]"
3,0.6997212,"[1, 261, 1, 118, 0.8, 0.914, 0.40002]"
3,0.71561086,"[1, 232, 2, 147, 0.876, 0.8190000000000001, 0.0001]"
3,0.8506997,"[1, 261, 2, 147, 0.952, 0.914, 0.40002]"
3,0.79126114,"[1, 61, 1, 90, 0.914, 0.8190000000000001, 0.0001]"
3,0.8370462,"[1, 261, 2, 204, 0.99, 0.914, 0.40002]"
3,1.396746,"[2, 5, 2, 204, 0.971, 0.952, 0.0001]"
3,0.73852044,"[1, 261, 1, 33, 0.8380000000000001, 0.8190000000000001, 0.5]"
3,0.8461973,"[2, 261, 1, 33, 0.8380000000000001, 0.8190000000000001, 0.35003]"
3,0.73772645,"[2, 261, 2, 33, 0.8380000000000001, 0.8190000000000001, 0.15006999999999998]"
3,0.7643932,"[1, 204, 2, 147, 0.8190000000000001, 0.8190000000000001, 0.5]"
3,0.8233326,"[2, 175, 2, 90, 0.971, 0.895, 0.5]"
3,0.767623,"[1, 261, 1, 90, 0.8, 0.876, 0.40002]"
3,0.80171263,"[1, 261, 2, 232, 0.8, 0.914, 0.30004]"
3,1.0991323,"[2, 118, 2, 5, 0.971, 0.914, 0.5]"
3,1.3782604,"[1, 261, 2, 5, 0.8, 0.857, 0.40002]"
3,0.86085814,"[1, 5, 1, 232, 0.8380000000000001, 0.99, 0.25005]"
3,0.8320357,"[1, 175, 2, 204, 0.857, 0.971, 0.35003]"
4,0.95472604,"[2, 261, 1, 61, 0.857, 0.933, 0.20006]"
4,0.89505666,"[2, 90, 2, 90, 0.933, 0.876, 0.30004]"
4,1.1277692,"[1, 5, 2, 118, 0.895, 0.8190000000000001, 0.30004]"
4,0.8343985,"[2, 61, 2, 175, 0.952, 0.99, 0.45000999999999997]"
4,0.81681454,"[2, 61, 1, 261, 0.8, 0.8, 0.35003]"
4,2.7050905,"[2, 204, 2, 5, 0.99, 0.933, 0.40002]"
4,0.9671288,"[2, 204, 1, 5, 0.8, 0.933, 0.30004]"
4,0.94012827,"[2, 204, 2, 175, 0.895, 0.952, 0.20006]"
4,0.8387492,"[2, 90, 2, 147, 0.99, 0.914, 0.0001]"
4,1.1256796,"[2, 118, 1, 90, 0.933, 0.876, 0.5]"
4,0.9441068,"[2, 61, 2, 90, 0.8190000000000001, 0.8, 0.30004]"
4,0.91639096,"[2, 61, 2, 147, 0.952, 0.8, 0.0001]"
4,0.9828139,"[1, 33, 1, 118, 0.8, 0.876, 0.35003]"
4,0.8936998,"[2, 33, 1, 147, 0.8, 0.876, 0.0001]"
4,1.0407467,"[2, 90, 1, 147, 0.933, 0.914, 0.0001]"
4,0.75910753,"[2, 61, 2, 147, 0.8, 0.8, 0.0001]"
4,0.98992,"[2, 61, 2, 147, 0.8, 0.8, 0.0001]"
4,0.86797154,"[1, 147, 2, 5, 0.914, 0.895, 0.25005]"
4,1.1092148,"[2, 261, 2, 147, 0.99, 0.8380000000000001, 0.5]"
4,0.97425944,"[2, 61, 2, 147, 0.8, 0.8, 0.0001]"
4,0.84800947,"[1, 147, 2, 5, 0.914, 0.8190000000000001, 0.20006]"
4,0.93310463,"[1, 232, 2, 232, 0.99, 0.914, 0.10008]"
4,1.0577251,"[2, 147, 1, 5, 0.895, 0.914, 0.30004]"
4,0.92724115,"[1, 204, 2, 33, 0.8380000000000001, 0.971, 0.05009]"
4,0.9450298,"[2, 90, 1, 61, 0.99, 0.857, 0.0001]"
4,0.8378017,"[2, 90, 2, 147, 0.99, 0.914, 0.0001]"
4,0.90171677,"[1, 175, 1, 5, 0.914, 0.857, 0.15006999999999998]"
4,0.7316807,"[2, 90, 2, 147, 0.99, 0.914, 0.0001]"
4,0.9712824,"[2, 90, 2, 147, 0.99, 0.914, 0.0001]"
4,0.77823836,"[2, 147, 2, 5, 0.952, 0.8190000000000001, 0.05009]"
4,0.9208098,"[2, 90, 2, 5, 0.914, 0.8190000000000001, 0.05009]"
4,0.9933495,"[2, 204, 2, 204, 0.876, 0.952, 0.20006]"
4,0.99341166,"[1, 61, 1, 90, 0.8380000000000001, 0.8190000000000001, 0.40002]"
4,0.96890193,"[1, 147, 2, 5, 0.952, 0.8190000000000001, 0.40002]"
4,1.0405664,"[1, 5, 2, 5, 0.952, 0.952, 0.20006]"
4,0.6701447,"[2, 90, 2, 147, 0.99, 0.914, 0.0001]"
4,0.99006295,"[2, 90, 2, 147, 0.99, 0.914, 0.0001]"
4,0.9618969,"[2, 90, 2, 147, 0.99, 0.914, 0.0001]"
4,0.92317325,"[1, 204, 1, 118, 0.99, 0.914, 0.20006]"
